
a, footprint, kingdom
air, into
all, its, around
always, have
am, one
an, icy
and, it, slam, the, break, sky, here, one
anymore, let
anyway, its
around, and
at, all
away, and
back, anymore, the
be, seen, the, conceal
blast, im
bothered, me
break, through, of
can, do
cant, hold, get
care, what
cold, never
conceal, dont
controlled, me
couldnt, keep
cry, here
crystallizes, like
dawn, let
day, let
distance, makes
do, to
dont, let, feel, care
door, i
everything, seem
fears, that
feel, dont
flurries, through
footprint, to
for, me
fractals, all
free, let
frozen, fractals
funny, how
get, to
girl, you, is
glows, white
go, let, cant, turn, i, youll, when, that
going, to, back
gone, here
good, girl
ground, my
have, to
heaven, knows
here, i
hold, it
how, some
howling, like
i, dont, can, am, stand, stay
icy, blast
ill, rise
im, the, free, never
in, heaven, dont, frozen, the
inside, couldnt
into, the
is, howling, spiraling, gone
isolation, and
it, looks, in, go, back
its, funny, time
ive, tried
keep, it
kingdom, of
know, well, let
knows, ive
let, them, it
light, of
like, im, this, an, the
limits, and
looks, like
makes, everything
me, anyway, cant, at, im, cry
mountain, tonight
my, power, soul
never, bothered, see, going
no, right, wrong, rules
not, a
now, they
of, isolation, dawn, day
on, the, my
once, controlled
one, with, thought
past, is, let
perfect, girl
power, flurries
queen, the
rage, on
right, no
rise, like
rules, for
say, let
see, be, what, me
seem, small
seen, a
sky, let
slam, the
small, and
snow, glows
some, distance
soul, is
spiraling, in
stand, and, in
stay, let
storm, inside, rage
swirling, storm
test, the
that, once, perfect
the, snow, mountain, queen, wind, good, door, storm, cold, fears, limits, air, ground, past, break, light
them, in, see, know
they, know
theyre, going
this, swirling
thought, crystallizes
through, no, the
time, to
to, be, say, me, see, test
tonight, not
tried, dont
turn, away
well, now
what, theyre, i
when, ill
white, on
wind, is, and
with, the
wrong, no
you, always
youll, never

